名稱,人名ID,姓名,出生時間,辭世時間,字,號,原名,姓,諱名,筆名,幼名,學名,譜名,別號,居室名,泮名,共同筆名,其它名稱,翻譯的語言別,原民族群,祖籍,原籍,籍貫,出生地,辭世地點,性別,理論,作家簡介,圖像預覽,引用自,圖像權利註記,網站顯示區域,提要撰寫,朝代,年號,作品出處,宗教信仰,稱譽,當代相關研究,族群,維基數據,虛擬國際權威檔案,資料外部連結,備註,原始資料,最後修改時間,url
,PER977,一信,1933/6/16,0000-00-00,,,徐榮慶,,,"及人
榮慶",,,,,,,,,,,,,漢口市,,,男,,一信，男，本名徐榮慶，另有筆名及人、榮慶，籍貫漢口市，1933年5月24日（農曆）生，1949年8月來臺迄今。國家乙等特考及格，擔任過編輯、主編、交通事業單位專員、課長、副經理等職務，同簡任職退休。1956年在《中華文藝》發表第一首詩，1964年與綠蒂、宇彬合編《中國新詩》，並曾主編《世界畫刊》、《交通安全月刊》，以及中國青年寫作協會、中國文藝協會、中國新詩學會等刊物十餘種。1967年參與發起成立「中華民國新詩學會」，擔任理事兼副總幹事，代表出席世界詩人大會，並曾擔任中國青年寫作協會理事兼副總幹事。現為中華民國新詩學會常務理事、《詩報》主編。曾獲中華民國青年學藝大競賽新詩獎、全國詩人節詩運獎、詩教獎、中國文藝協會詩歌創作獎、中山文藝創作獎等獎項。一信的創作文類以詩為主。早期思想感情內斂，每一首詩都是一種內在力量的展現，使得他的詩純粹而凝鍊。晚近詩題材多樣，有為老而無依之老兵抒發之創作，亦有描繪社會現象之作。表現手法及語言亦多元化，意象鮮活，作品呈現陽剛的風格。,,,,,,,,,,,,,,,,,,1.69709E+12,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER977
,PER6721,一得,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6721
,PER5801,丁允恭,1976-00-00,,,,,,,,,,,,,,,,,,,,,台北,,男,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5801
,PER978,丁文智,1930/9/26,0000-00-00,,,,,,夢雷,,,,,,,,,,,,,山東諸城,,,男,,丁文智，男，筆名夢雷，籍貫山東諸城，1930年9月26日生，1949年11月來臺迄今。山東省立青島臨時師範學校畢業。第一篇新詩習作〈愛〉，刊登於1953年11月出刊的《半月文藝》。1956年加入紀弦發起的「現代派」，1968年與辛鬱、羅行、彭邦楨等合組「十月出版社」。曾任陸軍士官、飛機修護、空勤機工長，1999年接任創世紀詩社社長迄今。曾獲陸軍新文藝金獅獎、國軍新文藝金像獎、中國文藝協會文藝獎章。丁文智創作文類以詩為主，23歲開始創作，以後又嘗試散文與小說創作。創作內容趨向生命本質的探討，擴散到對世界、戰爭、永恆等議題的討論上，也將書寫帶至更深層的共同存在意識。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER978
,PER7490,丁立偉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7490
,PER979,丁旭輝,1967/4/16,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣高雄,雲林,,男,,丁旭輝，男，籍貫臺灣高雄，1967年4月16日生於雲林。臺灣師範大學國文系碩士，中山大學中文系博士候選人。曾任輔英科技大學、文藻外語學院應用華語文系，高雄應用科技大學文化事業發展系副教授兼系主任。現為高雄應用科技大學文化事業發展系副教授，並為《臺灣詩學》季刊成員。曾獲國科會研究獎、巫永福基金會臺灣文學論文獎。丁旭輝創作文類以論述為主。以現代詩為研究題材。早期聚焦於圖像詩之技巧研究，針對圖像詩之構成與名家作品進行分析，歸納出通則。近期除發表詩論之外，更試圖於既有研究基礎上，為新詩發展脈絡建立一完整架構，期能使一般大眾對此有所理解。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER979
,PER980,丁衣,1925/3/12,0000-00-00,克用,,,,,尼羅,,,,,,,,,,,,,浙江鄞縣,,,男,,丁衣，男，字克用，筆名尼羅，籍貫浙江鄞縣，1925年3月12日生，1948年隨軍來臺迄今。上海東吳大學畢業。曾任國防部抗敵演劇演員、組長、隊長，國防部藝術工作總隊編導、研究員，並由舞臺演員改任編劇，曾主編藝工總隊的《康樂月刊》，曾任中國文藝協會和中華民國編劇學會理事，現已退休。曾獲國軍新文藝劇本創作銀像獎、教育部文藝獎戲劇類獎、中山學術文化基金會戲劇獎。丁衣創作文類以劇本為主。有30餘齣舞臺劇，電影劇本10餘齣，廣播劇本60餘齣，電視劇本400餘齣，堪稱當今多產的劇作家之一，作品大部分集中在五、六○年代。丁衣的喜劇獨創一格，且能不斷創新與突破，初期劇作多著重結構技巧之經營，後期則轉向於形式的創新、人性的發掘，期能追求劇藝更深邃之堂奧。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER980
,PER981,丁亞民,1958/9/22,0000-00-00,,,,,,野民,,,,,,,,,,,,,江西雩都,臺灣,,男,,丁亞民，男，曾用筆名野民，籍貫江西雩都，1958年9月22日生於臺灣。淡江大學建築系畢業。現為編劇導演。曾獲《聯合報》第一屆小說徵文首獎、金馬獎最佳改編劇本獎、金鐘獎編劇獎及導演獎。丁亞民創作文類包括散文、小說和劇本。1977年與朱天文、朱天心等人合辦「三三集刊」，當時為鄉土文學風潮，琢磨筆墨書寫自己的年少時光，被稱為校園青年作家，後轉寫電影和電視劇本，1991年後開始執導，作品有《張愛玲傳奇》、《人間四月天》等。丁亞民說：「30歲以前我喜歡很戲劇性的故事，30歲之後喜歡做傳記式的戲，而40歲以後我喜歡更散文式的東西；從『編造』故事轉為『呈現』故事，以更客觀的真實呈現卻又更主觀的敘述情感。」,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER981
,PER982,丁宗裕,1931/12/12,0000-00-00,,,,,,丁杰,,,,,,,,,,,,,四川忠縣,,,男,,丁宗裕，男，筆名丁杰，籍貫四川忠縣，1931年12月12日生，1948年初隨部隊來臺迄今。政工幹校專修班二期畢業。曾任國防部《戰地政務》月刊編輯及《戰鬥週刊》撰述委員。現已退休。丁宗裕的創作文類包括論述、散文和小說。在小說創作上，追求「誠樸無瑕，整潔高雅」的境界，周開慶曾說丁宗裕作品的特點：「一是真實的題材，二是素樸的描述，三是純潔的情操。」,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER982
,PER3347,丁秉燧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER3347
